"","alpha","mean","err"
"1",0.001,0.01104,0.0037029717795306
"2",0.01,0.0165,0.00959462568864795
"3",0.03,0.02113,0.0119875856837945
"4",0.05,0.03515,0.0209582919151347
"5",0.08,0.07529,0.0453706362262967
