"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.009475,0.00475010121349656,0.496725,0.219868490705531
"2",0.05,0.017625,0.0132426806101933,0.94405,0.083832846509266
"3",0.1,0.059475,0.0433536367622466,0.988375,0.0228323741142332
"4",0.2,0.178175,0.107845304095193,0.9963,0.00609833941247481
"5",0.3,0.296325,0.157145757507367,0.993725,0.0277931807721948
"6",0.4,0.418075,0.213901773227207,0.997225,0.00492241081230816
"7",0.5,0.583575,0.214138930160437,0.99765,0.0035916569992136
"8",0.6,0.646075,0.192696305168628,0.998325,0.00188635450892279
"9",0.7,0.7275,0.139412319655742,0.997825,0.00388875762904246
"10",0.8,0.70355,0.204816985223144,0.99835,0.00144204271070145
"11",0.9,0.7602,0.165495092498314,0.998125,0.00234452444469979
"12",1,0.78375,0.161683570356041,0.99855,0.00108486085601937
"13",1.1,0.7973,0.13097468927533,0.998775,0.000697523090326379
"14",1.2,0.8065,0.146882300691439,0.998725,0.00117642439577491
"15",1.5,0.839625,0.130090833650953,0.998675,0.00107148351507474
