"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.0074,0.00220488967105805,0.4333,0.152751549574582
"2",0.05,0.012225,0.00458809775676598,0.888975,0.170427890985135
"3",0.1,0.03245,0.0204913365058229,0.9703,0.0464930102273449
"4",0.2,0.119225,0.0532162918470342,0.99345,0.0212216024431806
"5",0.3,0.285825,0.0772644103230207,0.9962,0.0073491670555415
"6",0.4,0.44645,0.140704810115872,0.9989,0.000632455532033676
"7",0.5,0.54245,0.125318251274761,0.9986,0.000955416408075827
"8",0.6,0.673625,0.128191900920216,0.9988,0.00072324057067958
"9",0.7,0.721825,0.0858731585477928,0.997425,0.00709961176258866
"10",0.8,0.8025,0.082650639471986,0.998675,0.00160747452825056
"11",0.9,0.831025,0.0715038057082924,0.998375,0.00334117666974699
"12",1,0.8399,0.0799287503230541,0.998825,0.000675106829153158
"13",1.1,0.896775,0.044964651358538,0.998925,0.000474341649025257
"14",1.2,0.899225,0.0486987008198213,0.998775,0.00142302494707577
"15",1.5,0.938025,0.028652191485523,0.99885,0.000662164283589457
