"","alpha","mean","err"
"1",0.001,0.01419,0.00824096953928168
"2",0.01,0.01226,0.0124017146522483
"3",0.03,0.01959,0.0116688474152334
"4",0.05,0.02819,0.0134875342056051
"5",0.08,0.02883,0.0182709749689443
