"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.12,20,2,19,1e-04
10000,100,1,0.12,20,2,20,1e-04
10000,100,1,0.12,20,2,21,1e-04
10000,100,1,0.12,20,2,22,1e-04
10000,100,1,0.12,20,2,23,1e-04
10000,100,1,0.12,20,2,24,1e-04
10000,100,1,0.12,20,2,25,1e-04
10000,100,1,0.12,20,3,26,2e-04
10000,100,1,0.12,20,2,27,1e-04
10000,100,1,0.12,20,2,28,1e-04
10000,100,1,0.12,20,2,29,1e-04
10000,100,1,0.12,20,2,30,1e-04
10000,100,1,0.12,20,2,31,1e-04
10000,100,1,0.12,20,2,32,1e-04
10000,100,1,0.12,20,2,33,1e-04
10000,100,1,0.12,20,2,34,1e-04
10000,100,1,0.12,20,2,35,1e-04
10000,100,1,0.12,20,2,36,1e-04
10000,100,1,0.12,20,2,37,1e-04
10000,100,1,0.12,20,2,38,1e-04
10000,100,1,0.12,20,2,39,1e-04
10000,100,1,0.12,20,2,40,1e-04
10000,100,1,0.12,20,2,41,1e-04
10000,100,1,0.12,20,2,42,1e-04
10000,100,1,0.12,20,2,43,1e-04
10000,100,1,0.12,20,2,44,1e-04
10000,100,1,0.12,20,2,45,1e-04
10000,100,1,0.12,20,2,46,1e-04
10000,100,1,0.12,20,2,47,1e-04
10000,100,1,0.12,20,2,48,1e-04
10000,100,1,0.12,20,2,49,1e-04
10000,100,1,0.12,20,2,50,1e-04
10000,100,1,0.12,20,2,51,1e-04
10000,100,1,0.12,20,2,52,1e-04
10000,100,1,0.12,20,2,53,1e-04
10000,100,1,0.12,20,2,54,1e-04
10000,100,1,0.12,20,2,55,1e-04
10000,100,1,0.12,20,2,56,1e-04
10000,100,1,0.12,20,2,57,1e-04
10000,100,1,0.12,20,2,58,1e-04
10000,100,1,0.12,20,2,59,1e-04
10000,100,1,0.12,20,2,60,1e-04
10000,100,1,0.12,20,2,61,1e-04
10000,100,1,0.12,20,2,62,1e-04
10000,100,1,0.12,20,2,63,1e-04
10000,100,1,0.12,20,2,64,1e-04
10000,100,1,0.12,20,2,65,1e-04
10000,100,1,0.12,20,2,66,1e-04
10000,100,1,0.12,20,2,67,1e-04
10000,100,1,0.12,20,2,68,1e-04
10000,100,1,0.12,20,2,69,1e-04
10000,100,1,0.12,20,2,70,1e-04
10000,100,1,0.12,20,2,71,1e-04
10000,100,1,0.12,20,2,72,1e-04
10000,100,1,0.12,20,3,73,2e-04
10000,100,1,0.12,20,2,74,1e-04
10000,100,1,0.12,20,2,75,1e-04
10000,100,1,0.12,20,2,76,1e-04
10000,100,1,0.12,20,2,77,1e-04
10000,100,1,0.12,20,2,78,1e-04
10000,100,1,0.12,20,2,79,1e-04
10000,100,1,0.12,20,2,80,1e-04
10000,100,1,0.12,20,2,81,1e-04
10000,100,1,0.12,20,2,82,1e-04
10000,100,1,0.12,20,2,83,1e-04
10000,100,1,0.12,20,2,84,1e-04
10000,100,1,0.12,20,2,85,1e-04
10000,100,1,0.12,20,2,86,1e-04
10000,100,1,0.12,20,2,87,1e-04
10000,100,1,0.12,20,2,88,1e-04
10000,100,1,0.12,20,2,89,1e-04
10000,100,1,0.12,20,2,90,1e-04
10000,100,1,0.12,20,2,91,1e-04
10000,100,1,0.12,20,2,92,1e-04
10000,100,1,0.12,20,2,93,1e-04
10000,100,1,0.12,20,2,94,1e-04
10000,100,1,0.12,20,2,95,1e-04
10000,100,1,0.12,20,2,96,1e-04
10000,100,1,0.12,20,2,97,1e-04
10000,100,1,0.12,20,2,98,1e-04
10000,100,1,0.12,20,2,99,1e-04
10000,100,1,0.12,20,2,100,1e-04
