"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.0090540305836899,0.0031713226617863,0.0400696501110329,0.0213979748950137
"2",0.05,0.0502786684093255,0.0274623957832058,0.836940336675793,0.274871536241495
"3",0.1,0.713321462272881,0.224357817509357,0.997899574373822,0.00293335629409614
"4",0.2,0.989669317513907,0.00567524259239644,0.998924424273973,0.000474248703217006
"5",0.3,0.994222171219316,0.00273173329437703,0.998974424173673,0.000158346763149466
"6",0.4,0.995447972220718,0.0018942913826425,0.998999524323923,6.80036129353352e-07
"7",0.5,0.996073122972672,0.00126924660665803,0.998999524474374,5.5481838939262e-07
"8",0.6,0.996598673322621,0.000744238858761205,0.998999599499299,5.91393396785186e-07
"9",0.7,0.996748572821318,0.000671238722308534,0.998974574373973,0.000158370920656608
"10",0.8,0.996747469609523,0.000670439693465738,0.998999223370309,1.02843901438986e-06
"11",0.9,0.996773798046091,0.000619212526814837,0.998999599348697,7.10426174050125e-07
"12",1,0.996748497595339,0.000742452498590393,0.998974524223472,0.000158038498622658
"13",1.1,0.996923498047145,0.000349583368658225,0.998999499349048,6.41515262095903e-07
"14",1.2,0.996823472419712,0.00044681067108627,0.998974524223472,0.000158038498622658
"15",1.5,0.996898497443528,0.000379481388787938,0.998999524172868,7.863319731657e-07
