"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.0802937078754349,0.0313264964194329,0.998296986881469,0.00345551590088061
"2",0.05,0.0912147850043354,0.039530256606108,0.999562693608941,0.000355702824538779
"3",0.1,0.0643041622732812,0.0260819473143736,0.999483445694329,0.000573942943631809
"4",0.2,0.146063889698691,0.0574571259371922,0.939626001819677,0.199367623690385
"5",0.3,0.125671856818842,0.0337695680002391,0.964923662107086,0.155443625534121
"6",0.4,0.180979851394905,0.116360885230749,0.999518869227332,0.000576588445910347
"7",0.5,0.184509422583863,0.133838539845873,0.999448958588841,0.000590141628196665
"8",0.6,0.182693676594228,0.0947679904752886,0.970287141759349,0.13011381956182
"9",0.7,0.11762103200002,0.0389165494954923,0.999630955091011,0.000294903738397542
"10",0.8,0.295010708576736,0.14259578719225,0.997355598815841,0.00539292552955662
"11",0.9,0.28882681396287,0.144976423573908,0.998921799585477,0.00236861221637548
"12",1,0.166358314675989,0.0725568893321945,0.998291119096333,0.00457976078433845
"13",1.1,0.215544216926307,0.0996111588038179,0.999621992175657,0.000421986746465103
"14",1.2,0.376736069460245,0.135603665495061,0.998990285887532,0.00174591508169577
"15",1.5,0.367637715056,0.158163118468664,0.998479058286566,0.00508086896013844
