"","X0.2","X0.5","X1"
"1779",0.159,0.625,0.917
"1780",0.353,0.853,0.965
"1781",0.113,0.528,0.843
"1782",0.218,0.692,0.927
"1783",0.347,0.814,0.963
"1784",0.148,0.628,0.896
"1785",0.259,0.76,0.934
"1786",0.165,0.626,0.899
"1787",0.211,0.656,0.9
"1788",0.183,0.668,0.901
"1789",0.189,0.673,0.903
"1790",0.217,0.743,0.919
"1791",0.245,0.801,0.955
"1792",0.257,0.772,0.933
"1793",0.171,0.666,0.91
"1794",0.191,0.691,0.94
"1795",0.147,0.552,0.86
"1796",0.177,0.708,0.95
"1797",0.192,0.701,0.925
"1798",0.246,0.757,0.923
"1799",0.294,0.793,0.958
"1800",0.297,0.807,0.956
"1801",0.208,0.78,0.961
"1802",0.175,0.685,0.892
"1803",0.157,0.602,0.899
"1804",0.202,0.72,0.919
"1805",0.245,0.761,0.937
"1806",0.2,0.709,0.924
"1807",0.328,0.863,0.973
"1808",0.17,0.642,0.898
"1809",0.215,0.769,0.943
"1810",0.15,0.647,0.892
"1811",0.379,0.858,0.966
"1812",0.157,0.561,0.894
"1813",0.218,0.769,0.936
"1814",0.225,0.692,0.897
"1815",0.187,0.746,0.933
"1816",0.181,0.645,0.892
"1817",0.103,0.535,0.861
"1818",0.214,0.644,0.911
"1819",0.219,0.76,0.924
"1820",0.152,0.693,0.901
"1821",0.4,0.845,0.952
"1822",0.323,0.853,0.973
"1823",0.218,0.75,0.925
"1824",0.239,0.778,0.921
"1825",0.165,0.675,0.919
"1826",0.205,0.692,0.903
"1827",0.17,0.647,0.888
"1828",0.26,0.706,0.953
"1829",0.242,0.787,0.93
"1830",0.233,0.772,0.947
"1831",0.098,0.379,0.777
"1832",0.29,0.799,0.958
"1833",0.355,0.813,0.965
"1834",0.316,0.823,0.959
"1835",0.256,0.79,0.95
"1836",0.161,0.676,0.929
"1837",0.16,0.561,0.857
"1838",0.196,0.628,0.885
"1839",0.153,0.702,0.897
"1840",0.161,0.633,0.92
"1841",0.322,0.787,0.956
"1842",0.148,0.581,0.856
"1843",0.182,0.723,0.924
"1844",0.168,0.637,0.905
"1845",0.26,0.801,0.95
"1846",0.259,0.772,0.933
"1847",0.14,0.656,0.919
"1848",0.249,0.818,0.961
"1849",0.171,0.708,0.935
"1850",0.36,0.817,0.957
"1851",0.264,0.717,0.941
"1852",0.229,0.766,0.931
"1853",0.177,0.68,0.906
"1854",0.363,0.813,0.954
"1855",0.272,0.755,0.939
"1856",0.282,0.816,0.953
"1857",0.268,0.791,0.956
"1858",0.255,0.777,0.942
"1859",0.214,0.693,0.918
"1860",0.174,0.627,0.931
"1861",0.242,0.754,0.945
"1862",0.322,0.832,0.954
"1863",0.314,0.824,0.968
"1864",0.164,0.593,0.899
"1865",0.136,0.528,0.849
"1866",0.175,0.675,0.879
"1867",0.209,0.739,0.929
"1868",0.199,0.708,0.926
"1869",0.182,0.647,0.916
"1870",0.372,0.844,0.967
"1871",0.196,0.7,0.92
"1872",0.218,0.714,0.916
"1873",0.317,0.839,0.963
"1874",0.231,0.747,0.916
"1875",0.229,0.77,0.943
"1876",0.136,0.508,0.851
"1877",0.174,0.603,0.892
"1878",0.381,0.862,0.964
"1879",0.212,0.708,0.921
"1880",0.227,0.756,0.923
"1881",0.315,0.805,0.937
"1882",0.173,0.624,0.872
"1883",0.204,0.715,0.923
"1884",0.245,0.759,0.933
"1885",0.395,0.854,0.974
"1886",0.236,0.771,0.915
"1887",0.239,0.735,0.942
"1888",0.208,0.709,0.931
"1889",0.312,0.738,0.92
"1890",0.121,0.502,0.869
"1891",0.178,0.704,0.913
"1892",0.407,0.883,0.958
"1893",0.263,0.783,0.943
"1894",0.217,0.705,0.924
"1895",0.338,0.846,0.971
"1896",0.311,0.81,0.948
"1897",0.327,0.793,0.944
"1898",0.045,0.718,0.932
"1899",0.159,0.637,0.91
"1900",0.2,0.712,0.945
"1901",0.267,0.739,0.965
"1902",0.237,0.751,0.923
"1903",0.082,0.479,0.832
"1904",0.305,0.824,0.96
"1905",0.272,0.795,0.951
"1906",0.21,0.672,0.938
"1907",0.186,0.682,0.914
"1908",0.304,0.816,0.965
"1909",0.221,0.692,0.922
"1910",0.208,0.729,0.92
"1911",0.086,0.58,0.888
"1912",0.214,0.774,0.958
"1913",0.15,0.639,0.885
"1914",0.145,0.552,0.899
"1915",0.185,0.744,0.925
"1916",0.244,0.728,0.941
"1917",0.214,0.726,0.918
"1918",0.45,0.839,0.962
"1919",0.15,0.527,0.9
"1920",0.189,0.672,0.925
"1921",0.056,0.438,0.807
"1922",0.213,0.773,0.957
"1923",0.261,0.698,0.927
"1924",0.203,0.75,0.951
"1925",0.215,0.687,0.903
"1926",0.173,0.708,0.906
"1927",0.174,0.668,0.906
"1928",0.238,0.788,0.937
"1929",0.265,0.799,0.954
"1930",0.205,0.658,0.915
"1931",0.156,0.605,0.91
"1932",0.342,0.826,0.971
"1933",0.183,0.657,0.919
"1934",0.08,0.43,0.816
"1935",0.237,0.806,0.942
"1936",0.305,0.785,0.945
"1937",0.292,0.785,0.943
"1938",0.125,0.527,0.877
"1939",0.189,0.74,0.94
"1940",0.222,0.71,0.934
"1941",0.143,0.606,0.875
"1942",0.215,0.764,0.938
"1943",0.248,0.723,0.912
"1944",0.215,0.737,0.935
"1945",0.34,0.839,0.973
"1946",0.228,0.761,0.931
"1947",0.2,0.697,0.926
"1948",0.245,0.808,0.952
"1949",0.23,0.77,0.941
"1950",0.126,0.62,0.898
"1951",0.191,0.684,0.902
"1952",0.23,0.728,0.938
"1953",0.232,0.772,0.942
"1954",0.238,0.779,0.931
"1955",0.229,0.695,0.911
"1956",0.253,0.774,0.947
"1957",0.169,0.779,0.951
"1958",0.126,0.539,0.889
"1959",0.214,0.714,0.925
"1960",0.26,0.767,0.927
"1961",0.279,0.771,0.941
"1962",0.35,0.829,0.948
"1963",0.166,0.638,0.897
"1964",0.27,0.788,0.957
"1965",0.128,0.488,0.86
"1966",0.252,0.82,0.945
"1967",0.221,0.703,0.954
"1968",0.475,0.857,0.97
"1969",0.242,0.753,0.942
"1970",0.242,0.673,0.924
"1971",0.263,0.757,0.949
"1972",0.249,0.799,0.943
"1973",0.141,0.654,0.912
"1974",0.147,0.652,0.903
"1975",0.255,0.783,0.937
"1976",0.244,0.778,0.935
"1977",0.073,0.483,0.847
"1978",0.178,0.765,0.934
"1979",0.366,0.851,0.98
"1980",0.347,0.857,0.959
"1981",0.257,0.764,0.932
"1982",0.147,0.626,0.878
"1983",0.193,0.683,0.905
"1984",0.229,0.719,0.912
"1985",0.379,0.901,0.981
"1986",0.133,0.579,0.876
"1987",0.218,0.722,0.928
"1988",0.172,0.647,0.895
"1989",0.313,0.777,0.935
"1990",0.295,0.803,0.946
"1991",0.219,0.735,0.933
"1992",0.294,0.785,0.932
"1993",0.265,0.733,0.927
"1994",0.222,0.765,0.948
"1995",0.29,0.814,0.966
"1996",0.202,0.634,0.893
"1997",0.242,0.721,0.949
"1998",0.207,0.686,0.931
"1999",0.387,0.847,0.963
"2000",0.17,0.621,0.896
