"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.0109,0.00491361269776015,"Betw Targeted"
"2",0.05,0.0275,0.014642754399711,"Betw Targeted"
"3",0.1,0.058325,0.0303208378038636,"Betw Targeted"
"4",0.2,0.206375,0.0703014343144339,"Betw Targeted"
"5",0.3,0.4195,0.109902987523846,"Betw Targeted"
"6",0.4,0.585825,0.120392496465221,"Betw Targeted"
"7",0.5,0.727575,0.084471171686877,"Betw Targeted"
"8",0.6,0.80915,0.0635188443671922,"Betw Targeted"
"9",0.7,0.841575,0.0549147999760562,"Betw Targeted"
"10",0.8,0.868325,0.0461582492557828,"Betw Targeted"
"11",0.9,0.907725,0.0347415272829033,"Betw Targeted"
"12",1,0.926975,0.0292122976387228,"Betw Targeted"
"13",1.1,0.940325,0.0238062559112688,"Betw Targeted"
"14",1.2,0.95405,0.0239443264518083,"Betw Targeted"
"15",1.5,0.972325,0.0103932608836145,"Betw Targeted"
"16",0,0.349575,0.193360151212506,"Random"
"17",0.05,0.9342,0.0970482829872287,"Random"
"18",0.1,0.965025,0.081617773171264,"Random"
"19",0.2,0.997475,0.00488843480797227,"Random"
"20",0.3,0.998175,0.00316946569953247,"Random"
"21",0.4,0.9987,0.00104267899527107,"Random"
"22",0.5,0.99825,0.00442458168383443,"Random"
"23",0.6,0.998975,0.000158113883008419,"Random"
"24",0.7,0.99785,0.00524062043694281,"Random"
"25",0.8,0.99895,0.000220721427863152,"Random"
"26",0.9,0.999,0,"Random"
"27",1,0.998975,0.000158113883008419,"Random"
"28",1.1,0.999,0,"Random"
"29",1.2,0.99875,0.00158113883008419,"Random"
"30",1.5,0.999,0,"Random"
"31",0,0.01155,0.00483019349827408,"Deg targeted"
"32",0.05,0.12685,0.0798175965432981,"Deg targeted"
"33",0.1,0.354975,0.13894150909184,"Deg targeted"
"34",0.2,0.710675,0.0879683473085923,"Deg targeted"
"35",0.3,0.8605,0.0521609933836505,"Deg targeted"
"36",0.4,0.909575,0.0353255101402183,"Deg targeted"
"37",0.5,0.942225,0.0229799104012892,"Deg targeted"
"38",0.6,0.962275,0.0166008765601128,"Deg targeted"
"39",0.7,0.96865,0.0146104107595955,"Deg targeted"
"40",0.8,0.97415,0.0152274212844578,"Deg targeted"
"41",0.9,0.982025,0.00859184914874976,"Deg targeted"
"42",1,0.98635,0.00735387565705916,"Deg targeted"
"43",1.1,0.9884,0.00827662758027472,"Deg targeted"
"44",1.2,0.991125,0.00652092293294714,"Deg targeted"
"45",1.5,0.9949,0.00423538210064471,"Deg targeted"
