"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.00867617617617618,0.00339210949032625,"Betw Targeted"
"2",0.01,0.0365807307307307,0.0149474751615624,"Betw Targeted"
"3",0.02,0.0490055576117199,0.0313205502541876,"Betw Targeted"
"4",0.03,0.04235503003003,0.0178552438065368,"Betw Targeted"
"5",0.04,0.058380980980981,0.0798005408705218,"Betw Targeted"
"6",0.05,0.0936636400428485,0.144914410064679,"Betw Targeted"
"7",0.06,0.132516243698608,0.195957908924375,"Betw Targeted"
"8",0.07,0.177598351156768,0.23825737715944,"Betw Targeted"
"9",0.08,0.407531756756757,0.296023680945712,"Betw Targeted"
"10",0.09,0.470455505505506,0.333240956886596,"Betw Targeted"
"11",0.1,0.728742340386479,0.235525148542901,"Betw Targeted"
"12",0.11,0.859404563280716,0.180103250332139,"Betw Targeted"
"13",0.12,0.953396946946947,0.0610861586498935,"Betw Targeted"
"14",0.13,0.966646970367161,0.0419381922214628,"Betw Targeted"
"15",0.14,0.98272034464324,0.0151932915416453,"Betw Targeted"
"16",0.15,0.986598798798799,0.00714659431841643,"Betw Targeted"
"17",0.16,0.989548648147145,0.00910577128367641,"Betw Targeted"
"18",0.17,0.991322572572573,0.0041621614322231,"Betw Targeted"
"19",0.18,0.991148548297797,0.00668892222518897,"Betw Targeted"
"20",0.19,0.993198673673674,0.00343622346647604,"Betw Targeted"
"21",0.2,0.993499524524525,0.00381599528646322,"Betw Targeted"
"22",0.21,0.993923948948949,0.00382665879114793,"Betw Targeted"
"23",0.22,0.993699449449449,0.00421345491011379,"Betw Targeted"
"24",0.23,0.994773548548548,0.00262792526605701,"Betw Targeted"
"25",0.24,0.995024124124124,0.0025981716204377,"Betw Targeted"
"26",0.25,0.995023948948949,0.00310939601897803,"Betw Targeted"
"27",0.26,0.995799324324324,0.00182961059657173,"Betw Targeted"
"28",0.27,0.995699249249249,0.00192445905679156,"Betw Targeted"
"29",0.28,0.995924224224224,0.00160729441788295,"Betw Targeted"
"30",0.29,0.995674023572671,0.00200578706991718,"Betw Targeted"
"31",0.3,0.996399774624324,0.000955271811207668,"Betw Targeted"
"32",0,0.0393552302302302,0.0158531065173635,"Random"
"33",0.01,0.166230305305305,0.321376496961552,"Random"
"34",0.02,0.386452402151651,0.444868962573186,"Random"
"35",0.03,0.646751551551552,0.430116677719495,"Random"
"36",0.04,0.709451801801802,0.412223579604863,"Random"
"37",0.05,0.891383767133867,0.266297090483746,"Random"
"38",0.06,0.988174724674574,0.0515099185540385,"Random"
"39",0.07,0.997498798196995,0.00346652041929449,"Random"
"40",0.08,0.998274449449449,0.00202625933205177,"Random"
"41",0.09,0.9985498998999,0.00153503027618691,"Random"
"42",0.1,0.998124724674574,0.00403306762177355,"Random"
"43",0.11,0.998799699649549,0.000791546116066722,"Random"
"44",0.12,0.998599724724725,0.00127777175192192,"Random"
"45",0.13,0.998424874824725,0.00153396794280541,"Random"
"46",0.14,0.998924774724624,0.000474305358415807,"Random"
"47",0.15,0.998799924924925,0.00111399951180026,"Random"
"48",0.16,0.998949824774674,0.000316199664955647,"Random"
"49",0.17,0.9989747997998,0.00015808193367469,"Random"
"50",0.18,0.998999774724624,4.80387380069412e-07,"Random"
"51",0.19,0.9986497997998,0.00118856087087482,"Random"
"52",0.2,0.998874874874875,0.000790549194572209,"Random"
"53",0.21,0.998899874874875,0.00063243532927237,"Random"
"54",0.22,0.9988498998999,0.00094866711361878,"Random"
"55",0.23,0.99899974974975,4.38967977620863e-07,"Random"
"56",0.24,0.998924874874875,0.000474321475778753,"Random"
"57",0.25,0.9989497997998,0.000316195558282206,"Random"
"58",0.26,0.998999874874875,3.35267330851548e-07,"Random"
"59",0.27,0.998999824824825,3.85192837082861e-07,"Random"
"60",0.28,0.998999774774775,4.23325387143497e-07,"Random"
"61",0.29,0.998924799699499,0.000474309447628901,"Random"
"62",0.3,0.998999924874775,3.50541674330595e-07,"Random"
"63",0,0.00845147647647648,0.0035751786861802,"Deg targeted"
"64",0.01,0.0377803553553554,0.0120190687947864,"Deg targeted"
"65",0.02,0.0407076347389474,0.0206242026597475,"Deg targeted"
"66",0.03,0.0576304554554555,0.0737623522148452,"Deg targeted"
