"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.447585374884364,0.213933292198228,"Betw Targeted"
"2",0.01,0.416897400003008,0.178974676428521,"Betw Targeted"
"3",0.02,0.485542941537359,0.194341886511087,"Betw Targeted"
"4",0.03,0.453806789606147,0.155555474402233,"Betw Targeted"
"5",0.04,0.436423341973988,0.126780385053718,"Betw Targeted"
"6",0.05,0.466228851698507,0.186681775823742,"Betw Targeted"
"7",0.06,0.467105959147308,0.173402478016805,"Betw Targeted"
"8",0.07,0.422999897142265,0.198377096468574,"Betw Targeted"
"9",0.08,0.47094118455536,0.190426499983337,"Betw Targeted"
"10",0.09,0.509828971095866,0.199675532977631,"Betw Targeted"
"11",0.1,0.449723991550977,0.183926405781858,"Betw Targeted"
"12",0.11,0.457579671836116,0.174539738255929,"Betw Targeted"
"13",0.12,0.452978069091779,0.159783554440551,"Betw Targeted"
"14",0.13,0.479281717213439,0.191913718084161,"Betw Targeted"
"15",0.14,0.461488612704974,0.163423105921519,"Betw Targeted"
"16",0.15,0.487981523685452,0.170577633831966,"Betw Targeted"
"17",0.16,0.382626082922414,0.142882510079655,"Betw Targeted"
"18",0.17,0.448232078376462,0.159324822878833,"Betw Targeted"
"19",0.18,0.450057023409265,0.189079249213819,"Betw Targeted"
"20",0.19,0.425127515362175,0.166479666929223,"Betw Targeted"
"21",0.2,0.456516252897183,0.175481934071623,"Betw Targeted"
"22",0.21,0.443103348248505,0.175351758753073,"Betw Targeted"
"23",0.22,0.455133277154775,0.177482290048183,"Betw Targeted"
"24",0.23,0.465015743292134,0.178958458592045,"Betw Targeted"
"25",0.24,0.438267046456274,0.166566633013207,"Betw Targeted"
"26",0.25,0.45926401314749,0.190583524705016,"Betw Targeted"
"27",0.26,0.434237776872007,0.166731272138538,"Betw Targeted"
"28",0.27,0.473426012984943,0.178007755450779,"Betw Targeted"
"29",0.28,0.442683141651255,0.180617433053325,"Betw Targeted"
"30",0.29,0.458202421227964,0.169586354526776,"Betw Targeted"
"31",0.3,0.40510389924905,0.155563128048079,"Betw Targeted"
"32",0,0.909046512355236,0.163358052695494,"Random"
"33",0.01,0.859386876497948,0.231486211080605,"Random"
"34",0.02,0.924512468630756,0.129182791189509,"Random"
"35",0.03,0.939717013833702,0.128745864567442,"Random"
"36",0.04,0.971901550935406,0.0357394403872184,"Random"
"37",0.05,0.918684789134154,0.164403304213535,"Random"
"38",0.06,0.898016779585682,0.162158377061329,"Random"
"39",0.07,0.899762938891413,0.178657551600631,"Random"
"40",0.08,0.939489127066577,0.117749022951796,"Random"
"41",0.09,0.924643481352125,0.123172009364348,"Random"
"42",0.1,0.957791392125928,0.109123292156444,"Random"
"43",0.11,0.943954388238947,0.0987735809454724,"Random"
"44",0.12,0.940384126873705,0.115237283055601,"Random"
"45",0.13,0.924116405255813,0.111545926904044,"Random"
"46",0.14,0.931427664319448,0.113856713099116,"Random"
