# source, target, length
258,238,129.0131
259,308,58.0265
260,270,83.2271
260,231,185.2548
261,264,16.9748
261,247,126.9105
262,269,42.519
263,283,148.8859
263,252,131.0621
264,263,19.6448
264,267,102.8893
265,276,62.6827
265,269,119.2724
266,271,29.6752
266,248,118.3322
267,280,84.9312
267,253,85.9355
268,275,34.4419
268,282,121.9183
269,278,49.1318
270,281,111.9591
270,242,172.7759
271,267,126.3762
271,274,72.7782
272,277,56.6545
272,244,151.9488
272,279,123.869
273,29,136.07
273,80,48.8675
274,249,133.3833
275,285,83.4774
276,274,79.1867
276,298,125.971
276,278,108.3248
277,284,75.3228
277,260,101.2814
277,287,88.6906
278,297,97.9257
279,289,65.6824
279,252,138.3774
280,291,88.332
280,52,116.4318
281,254,148.1053
281,301,114.0174
282,258,129.4604
283,279,50.7525
284,270,79.4724
285,288,78.206
285,301,86.2626
285,281,60.0555
286,299,19.0762
286,13,77.4588
287,305,77.0145
287,289,108.7156
288,310,98.0327
288,275,89.6418
289,283,71.8499
289,291,173.7538
290,315,175.4309
290,284,49.3685
290,287,95.2641
291,293,103.9568
292,54,132.1298
292,282,61.1771
293,306,57.4992
293,294,68.8698
294,295,78.5957
295,312,110.9952
296,289,30.3014
297,298,40.9678
297,300,213.5929
298,295,178.723
299,80,80.0973
299,14,90.6117
300,318,99.012
300,51,146.0835
300,55,27.2287
301,315,112.8702
302,291,52.8034
303,324,91.0465
303,298,36.4957
304,326,155.2247
304,292,52.7175
305,313,98.0145
305,296,60.2183
306,311,45.8951
306,294,63.6195
307,329,184.3769
307,296,81.3088
308,64,34.376
308,91,105.0377
309,322,94.1034
309,302,49.994
310,304,49.0923
310,328,142.7595
311,321,66.7935
312,306,65.3033
313,63,166.3626
313,290,119.0931
314,75,222.1742
314,307,58.7474
314,302,91.4404
315,323,32.1974
316,309,62.8478
316,311,55.2484
317,303,86.1649
318,78,170.7028
318,120,469.3982
319,132,87.8821
319,3,95.4441
320,61,94.426
320,312,46.6786
321,312,49.0857
322,314,35.4151
322,333,57.1835
323,328,41.4236
324,325,22.8734
324,65,92.3991
325,317,32.2276
326,58,35.5521
326,331,30.7469
327,167,113.4631
328,334,38.6247
329,313,75.6102
330,60,39.8298
330,57,94.2338
330,317,66.8323
331,77,165.9379
331,69,138.8759
332,70,98.2899
332,316,85.4329
332,321,50.304
333,70,100.5886
333,316,94.7273
334,74,128.7493
334,323,181.2029
