# index, pos, _pos
89,"array([1170.18,  894.04])","array([2.44732018, 9.89142498])"
90,"array([ 118.68, 1012.39])","array([2.48614701, 7.58568687])"
91,"array([118.68, 651.64])","array([3.16675434, 7.93340146])"
92,"array([1180.99, 1288.35])","array([1.78106081, 9.42739322])"
93,"array([1184.98,  886.07])","array([ 2.54514715, 10.03722459])"
94,"array([1184.98,  999.87])","array([2.3331431 , 9.92529139])"
95,"array([1216.27, 1127.9 ])","array([1.94223229, 9.75188392])"
96,"array([123.23,  95.17])","array([3.68255583, 8.28357636])"
97,"array([1231.06, 1209.83])","array([1.93683618, 9.65260009])"
98,"array([1233.91, 1032.87])","array([ 2.22983544, 10.00876171])"
99,"array([1240.17, 1229.18])","array([1.82823974, 9.61208121])"
100,"array([1247.  ,   26.32])","array([4.39752269, 9.88113967])"
101,"array([1250.98, 1344.68])","array([1.60196486, 9.5194917 ])"
102,"array([1260.08,  616.37])","array([ 3.09141168, 10.22358677])"
103,"array([1266.34,  550.93])","array([ 3.23636325, 10.18302999])"
104,"array([ 127.78, 1162.6 ])","array([2.27916756, 7.43782223])"
105,"array([1272.03,  449.65])","array([ 3.34906908, 10.08154032])"
106,"array([1281.14,  284.64])","array([3.49548623, 9.99717381])"
107,"array([1295.36,  829.17])","array([ 2.56466488, 10.1940854 ])"
108,"array([1297.07, 1182.52])","array([1.83896598, 9.79188765])"
109,"array([1302.76,   28.59])","array([4.35270942, 9.98333055])"
110,"array([1313.57, 1170.57])","array([1.93457417, 9.95459755])"
111,"array([1322.1 ,  466.72])","array([ 3.36931479, 10.21099215])"
112,"array([1327.79, 1302.01])","array([1.58577791, 9.69474609])"
113,"array([1332.91, 1433.45])","array([1.46531411, 9.54661334])"
114,"array([1332.91,  813.24])","array([ 2.68187665, 10.29968493])"
115,"array([1341.45,  552.07])","array([ 3.29524163, 10.26994333])"
116,"array([1343.73,  979.96])","array([ 2.36704844, 10.12443942])"
117,"array([1354.54, 1477.83])","array([1.17695287, 9.66544478])"
118,"array([1363.64, 1113.67])","array([ 2.06966813, 10.04419495])"
119,"array([1372.18,   30.87])","array([ 4.21990058, 10.02202588])"
120,"array([1372.18,   78.67])","array([4.08471363, 9.96321368])"
121,"array([1372.74, 1265.02])","array([1.68946149, 9.8084647 ])"
122,"array([1377.3 ,  792.76])","array([ 2.81779748, 10.38046926])"
123,"array([1377.3 ,  865.59])","array([ 2.6464243 , 10.38490083])"
124,"array([1377.87, 1438.57])","array([1.34374904, 9.6856515 ])"
125,"array([1380.71,  710.82])","array([ 2.95713656, 10.37151663])"
126,"array([1392.66,  956.06])","array([ 2.44408783, 10.23742198])"
127,"array([1398.92,  829.17])","array([ 2.73381895, 10.41761545])"
128,"array([1399.49,   27.46])","array([ 4.15200535, 10.11217269])"
129,"array([1406.32, 1385.08])","array([1.47500041, 9.78432624])"
130,"array([1408.02, 1510.83])","array([1.03175237, 9.68495568])"
131,"array([1417.7 ,   33.15])","array([ 4.03032992, 10.10709056])"
132,"array([ 143.71, 1282.09])","array([2.08098691, 7.31388463])"
133,"array([1431.92, 1234.3 ])","array([1.66698706, 9.94625261])"
134,"array([1433.06, 1155.78])","array([ 2.04516904, 10.17556316])"
135,"array([1433.06, 1188.78])","array([ 1.9187628 , 10.07871733])"
136,"array([1433.63, 1030.03])","array([ 2.25544335, 10.24676382])"
137,"array([1434.2 , 1213.81])","array([ 1.7775428 , 10.05466796])"
138,"array([1434.2 ,  865.59])","array([ 2.56109787, 10.42381168])"
139,"array([1435.33,  932.73])","array([ 2.42111373, 10.36867359])"
140,"array([1436.47,  838.28])","array([ 2.6974773 , 10.48358881])"
141,"array([1437.04, 1344.11])","array([1.53349271, 9.94699932])"
142,"array([1443.3 ,  756.34])","array([ 2.85305445, 10.48471772])"
143,"array([1444.44,  680.09])","array([ 3.01595004, 10.46404989])"
144,"array([1445.58,  633.44])","array([ 3.18611421, 10.46121714])"
145,"array([1448.42,  515.65])","array([ 3.41795153, 10.30980434])"
146,"array([1448.42,  556.62])","array([ 3.29781947, 10.37122529])"
147,"array([1452.97,  290.33])","array([ 3.51287455, 10.15855268])"
148,"array([1457.53,  226.6 ])","array([ 3.71144633, 10.19704203])"
149,"array([1459.8 ,   38.84])","array([ 3.90086993, 10.22534412])"
150,"array([1465.49, 1200.73])","array([ 1.77328282, 10.1668113 ])"
151,"array([1474.03,  830.31])","array([ 2.62261487, 10.54702281])"
152,"array([1476.87, 1311.11])","array([ 1.55786223, 10.09732086])"
153,"array([1478.01, 1444.26])","array([1.24575327, 9.78253757])"
154,"array([1485.41,   38.27])","array([ 3.97615254, 10.35798811])"
155,"array([1485.97, 1187.07])","array([ 1.88042275, 10.23298894])"
156,"array([1496.79,  809.83])","array([ 2.72019163, 10.57674605])"
157,"array([1503.04, 1271.28])","array([ 1.66583451, 10.1847529 ])"
158,"array([1507.03,  897.45])","array([ 2.50136967, 10.52810699])"
159,"array([1526.37,  601.57])","array([ 3.30295228, 10.5096833 ])"
160,"array([1536.05, 1215.52])","array([ 1.75709316, 10.25537131])"
161,"array([1551.41,  571.99])","array([ 3.40794702, 10.46399349])"
162,"array([1558.24,  861.04])","array([ 2.59643336, 10.61454712])"
163,"array([1560.51,  597.02])","array([ 3.37416503, 10.55656227])"
164,"array([164.2,  54.2])","array([3.76855803, 8.42813848])"
165,"array([168.75, 746.1 ])","array([2.75436422, 7.93875595])"
166,"array([  17.39, 1471.  ])","array([1.63266851, 7.03164229])"
167,"array([176.14, 401.86])","array([3.37247425, 8.05530498])"
168,"array([ 18.53, 604.99])","array([3.20391807, 7.79703738])"
169,"array([180.13, 686.92])","array([3.0563988 , 8.04260471])"
170,"array([ 185.82, 1288.92])","array([2.04985395, 7.46304034])"
171,"array([196.06, 726.75])","array([2.89307114, 8.05907146])"
172,"array([ 204.03, 1378.82])","array([1.86624411, 7.4567787 ])"
173,"array([210.85,  -0.43])","array([3.84172188, 8.52788438])"
174,"array([ 210.85, 1213.81])","array([2.2149174 , 7.54907184])"
175,"array([213.7 , 670.42])","array([3.11455495, 8.17057002])"
176,"array([221.1 , 715.37])","array([2.98349602, 8.20562458])"
177,"array([ 222.8 , 1027.75])","array([2.58834951, 7.83689498])"
178,"array([ 224.51, 1194.47])","array([2.36209346, 7.65521932])"
179,"array([ 23.65, 874.12])","array([2.64735607, 7.64276463])"
180,"array([ 233.61, 1522.21])","array([1.61997311, 7.51821944])"
181,"array([238.73, 470.13])","array([3.23996405, 8.1636912 ])"
182,"array([ 24.22, 202.14])","array([3.65302243, 8.18084414])"
183,"array([249.55, 838.28])","array([2.75745507, 8.07869339])"
184,"array([ 257.51, 1296.89])","array([2.04830385, 7.57438415])"
185,"array([258.08, 292.61])","array([3.53345784, 8.20082762])"
186,"array([ 262.06, 1349.23])","array([1.9116295 , 7.56288434])"
187,"array([ 270.03, 1452.79])","array([1.73905472, 7.59093696])"
188,"array([ 272.3 , 1251.37])","array([2.17726867, 7.66088345])"
189,"array([ 281.41, 1150.09])","array([2.41346703, 7.82813723])"
190,"array([288.81, 311.95])","array([3.52496811, 8.38565696])"
191,"array([289.94, 994.75])","array([2.5836425 , 7.96024396])"
192,"array([292.22, 348.37])","array([3.40780318, 8.45805875])"
193,"array([ 308.72, 1386.79])","array([1.81473238, 7.65008316])"
194,"array([312.13, 171.41])","array([3.76656027, 8.55571756])"
195,"array([ 313.84, 1218.93])","array([2.27535742, 7.80703114])"
196,"array([315.55, 972.56])","array([2.63406669, 8.0634146 ])"
197,"array([ 32.76, 500.86])","array([3.558187  , 7.80189329])"
198,"array([ 340.58, 1476.69])","array([1.68548994, 7.76834844])"
199,"array([ 35.6 , 642.54])","array([3.16611749, 7.68524961])"
200,"array([ 350.83, 1402.72])","array([1.77073833, 7.77984122])"
201,"array([363.34, 100.86])","array([3.80647659, 8.64787576])"
202,"array([ 364.48, 1206.99])","array([2.27916692, 7.96359998])"
203,"array([370.17, 920.21])","array([2.68372837, 8.15256436])"
204,"array([ 373.59, 1134.15])","array([2.40271137, 8.01715534])"
205,"array([ 377.  , 1068.15])","array([2.51792943, 8.09758605])"
206,"array([377.57, 565.73])","array([3.25916706, 8.45099429])"
207,"array([382.12, 597.59])","array([3.16936278, 8.29405285])"
208,"array([ 387.24, 1006.7 ])","array([2.55553664, 8.2245683 ])"
209,"array([392.93, 938.42])","array([2.65153588, 8.27634537])"
210,"array([393.5 , 310.82])","array([3.59275834, 8.54274074])"
