"","alpha","mean","err"
"1",0.001,0.013290850271695,0.00550821439591871
"2",0.01,0.0105912803889309,0.0064742455197922
"3",0.03,0.160990962274888,0.361165869720874
"4",0.05,0.995809707904766,0.00565271489454313
"5",0.08,0.999029923971989,0.00110947268271761
