"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.011375,0.00478613113924507,"Betw Targeted"
"2",0.05,0.013925,0.00790451834436547,"Betw Targeted"
"3",0.1,0.0165,0.0105684581511358,"Betw Targeted"
"4",0.2,0.036625,0.0217523208310852,"Betw Targeted"
"5",0.3,0.04715,0.0352264105466339,"Betw Targeted"
"6",0.4,0.0824,0.105593997498401,"Betw Targeted"
"7",0.5,0.160325,0.158055554579184,"Betw Targeted"
"8",0.6,0.18325,0.207368339447294,"Betw Targeted"
"9",0.7,0.24255,0.220162987410784,"Betw Targeted"
"10",0.8,0.300675,0.218833198097875,"Betw Targeted"
"11",0.9,0.366675,0.258801120306298,"Betw Targeted"
"12",1,0.4076,0.267209588343241,"Betw Targeted"
"13",1.1,0.4052,0.274568864838061,"Betw Targeted"
"14",1.2,0.437275,0.281399978814717,"Betw Targeted"
"15",1.5,0.5466,0.288020458675047,"Betw Targeted"
"16",0,0.2545,0.19890275938837,"Random"
"17",0.05,0.754575,0.241133210072773,"Random"
"18",0.1,0.886875,0.138562989008887,"Random"
"19",0.2,0.96035,0.145195809433066,"Random"
"20",0.3,0.990775,0.02171433120055,"Random"
"21",0.4,0.9962,0.00446180370564331,"Random"
"22",0.5,0.99385,0.00949102139811555,"Random"
"23",0.6,0.9968,0.00503424172478734,"Random"
"24",0.7,0.996775,0.00406667192097181,"Random"
"25",0.8,0.991425,0.0246346509137237,"Random"
"26",0.9,0.99665,0.00639931887401168,"Random"
"27",1,0.99255,0.0227820779764067,"Random"
"28",1.1,0.996025,0.0058154855166935,"Random"
"29",1.2,0.996775,0.0031090232615768,"Random"
"30",1.5,0.997975,0.00227006720786085,"Random"
"31",0,0.0167,0.0086207858526905,"Deg targeted"
"32",0.05,0.030725,0.0204287222387425,"Deg targeted"
"33",0.1,0.045625,0.0333218089052493,"Deg targeted"
"34",0.2,0.183375,0.172337725604891,"Deg targeted"
"35",0.3,0.270625,0.199913274465935,"Deg targeted"
"36",0.4,0.420825,0.276609776742876,"Deg targeted"
"37",0.5,0.498125,0.274170935591424,"Deg targeted"
"38",0.6,0.54415,0.273512625687109,"Deg targeted"
"39",0.7,0.596625,0.275600015583714,"Deg targeted"
"40",0.8,0.7009,0.221710460297046,"Deg targeted"
"41",0.9,0.644475,0.317652445735982,"Deg targeted"
"42",1,0.70955,0.271920986826915,"Deg targeted"
"43",1.1,0.717625,0.236640340265614,"Deg targeted"
"44",1.2,0.7424,0.220041581152057,"Deg targeted"
"45",1.5,0.779075,0.240698916885273,"Deg targeted"
