"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.00666,0.00329582295938235,0.9974,NA
"2",0.05,0.011576,0.00790346242904633,0.9974,NA
"3",0.1,0.016292,0.010661945298632,0.9974,NA
"4",0.15,0.026476,0.0341984816466868,0.9974,NA
"5",0.2,0.030004,0.0317685119421796,0.9974,NA
"6",0.25,0.084328,0.125225339810328,0.9974,NA
"7",0.3,0.131196,0.164285662062103,0.9974,NA
"8",0.35,0.155744,0.20587199922599,0.9974,NA
"9",0.4,0.260112,0.234685829628828,0.9974,NA
"10",0.45,0.283512,0.240544308481529,0.9974,NA
"11",0.5,0.28028,0.261443031606333,0.9974,NA
"12",0.55,0.296744,0.271029348632963,0.9974,NA
"13",0.6,0.401976,0.283178287072628,0.9974,NA
"14",0.65,0.493832,0.281798371571605,0.9974,NA
"15",0.7,0.514412,0.281509454395915,0.9974,NA
"16",0.75,0.525852,0.285411075711465,0.9974,NA
"17",0.8,0.542028,0.287281743270133,0.9974,NA
"18",0.85,0.582176,0.257025324377635,0.9974,NA
"19",0.9,0.573856,0.307319664830998,0.9974,NA
"20",0.95,0.56416,0.311911167364252,0.9974,NA
"21",1,0.491064,0.324901425402493,0.9974,NA
"22",1.1,0.616148,0.263275926676457,0.9974,NA
"23",1.2,0.664376,0.226902750507249,0.9974,NA
"24",1.5,0.72476,0.250190311236736,0.9974,NA
"25",1.7,0.778136,0.181532997798736,0.9974,NA
"26",2,0.783436,0.213375555434878,0.9974,NA
