"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.003225,0.00144093096686901,0.852825,0.216199443475173
"2",0.05,0.003925,0.0026639810194134,0.987675,0.039123989296358
"3",0.1,0.004175,0.00328857774573501,0.99835,0.00321494905650112
"4",0.2,0.008775,0.00940400214856719,0.99835,0.00395195505009214
"5",0.3,0.0068,0.00865936576110603,0.998,0.00442023319955651
"6",0.4,0.030075,0.089312871986988,0.999,0
"7",0.5,0.04895,0.105053087922494,0.9989,0.000632455532033676
"8",0.6,0.034775,0.0880429637253225,0.99885,0.000662164283589457
"9",0.7,0.09035,0.158987912780363,0.97315,0.157546989327482
"10",0.8,0.102775,0.168101997044224,0.974075,0.157639541359394
"11",0.9,0.195975,0.264854821141793,0.998925,0.000349908412925293
"12",1,0.1808,0.237953259793082,0.99865,0.00205750658160146
"13",1.1,0.1477,0.241430480517844,0.9989,0.000441442855726305
"14",1.2,0.322725,0.266115165690076,0.9989,0.000632455532033676
"15",1.5,0.252225,0.271915096807432,0.998725,0.00173925271309261
