"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.1,19,2,8,1e-04
10000,100,1,0.1,19,2,9,1e-04
10000,100,1,0.1,19,2,10,1e-04
10000,100,1,0.1,19,2,11,1e-04
10000,100,1,0.1,19,2,12,1e-04
10000,100,1,0.1,19,2,13,1e-04
10000,100,1,0.1,19,2,14,1e-04
10000,100,1,0.1,19,3,15,2e-04
10000,100,1,0.1,19,2,16,1e-04
10000,100,1,0.1,19,2,17,1e-04
10000,100,1,0.1,19,3,18,2e-04
10000,100,1,0.1,19,2,19,1e-04
10000,100,1,0.1,19,2,20,1e-04
10000,100,1,0.1,19,2,21,1e-04
10000,100,1,0.1,19,2,22,1e-04
10000,100,1,0.1,19,2,23,1e-04
10000,100,1,0.1,19,3,24,2e-04
10000,100,1,0.1,19,2,25,1e-04
10000,100,1,0.1,20,2,1,1e-04
10000,100,1,0.1,20,3,2,2e-04
10000,100,1,0.1,20,2,3,1e-04
10000,100,1,0.1,20,2,4,1e-04
10000,100,1,0.1,20,2,5,1e-04
10000,100,1,0.1,20,2,6,1e-04
10000,100,1,0.1,20,2,7,1e-04
10000,100,1,0.1,20,2,8,1e-04
10000,100,1,0.1,20,2,9,1e-04
10000,100,1,0.1,20,2,10,1e-04
10000,100,1,0.1,20,2,11,1e-04
10000,100,1,0.1,20,2,12,1e-04
10000,100,1,0.1,20,2,13,1e-04
10000,100,1,0.1,20,2,14,1e-04
10000,100,1,0.1,20,2,15,1e-04
10000,100,1,0.1,20,2,16,1e-04
10000,100,1,0.1,20,2,17,1e-04
10000,100,1,0.1,20,2,18,1e-04
10000,100,1,0.1,20,2,19,1e-04
10000,100,1,0.1,20,2,20,1e-04
10000,100,1,0.1,20,2,21,1e-04
10000,100,1,0.1,20,2,22,1e-04
10000,100,1,0.1,20,2,23,1e-04
10000,100,1,0.1,20,2,24,1e-04
10000,100,1,0.1,20,2,25,1e-04
10000,100,1,0.1,21,2,1,1e-04
10000,100,1,0.1,21,2,2,1e-04
10000,100,1,0.1,21,2,3,1e-04
10000,100,1,0.1,21,2,4,1e-04
10000,100,1,0.1,21,2,5,1e-04
10000,100,1,0.1,21,3,6,2e-04
10000,100,1,0.1,21,3,7,2e-04
10000,100,1,0.1,21,2,8,1e-04
10000,100,1,0.1,21,2,9,1e-04
10000,100,1,0.1,21,2,10,1e-04
10000,100,1,0.1,21,2,11,1e-04
10000,100,1,0.1,21,2,12,1e-04
10000,100,1,0.1,21,2,13,1e-04
10000,100,1,0.1,21,2,14,1e-04
10000,100,1,0.1,21,3,15,2e-04
10000,100,1,0.1,21,2,16,1e-04
10000,100,1,0.1,21,2,17,1e-04
10000,100,1,0.1,21,2,18,1e-04
10000,100,1,0.1,21,2,19,1e-04
10000,100,1,0.1,21,2,20,1e-04
10000,100,1,0.1,21,2,21,1e-04
10000,100,1,0.1,21,2,22,1e-04
10000,100,1,0.1,21,2,23,1e-04
10000,100,1,0.1,21,2,24,1e-04
10000,100,1,0.1,21,2,25,1e-04
10000,100,1,0.1,22,2,1,1e-04
10000,100,1,0.1,22,2,2,1e-04
10000,100,1,0.1,22,2,3,1e-04
10000,100,1,0.1,22,2,4,1e-04
10000,100,1,0.1,22,2,5,1e-04
10000,100,1,0.1,22,2,6,1e-04
10000,100,1,0.1,22,2,7,1e-04
10000,100,1,0.1,22,2,8,1e-04
10000,100,1,0.1,22,2,9,1e-04
10000,100,1,0.1,22,3,10,2e-04
10000,100,1,0.1,22,2,11,1e-04
10000,100,1,0.1,22,2,12,1e-04
10000,100,1,0.1,22,2,13,1e-04
10000,100,1,0.1,22,2,14,1e-04
10000,100,1,0.1,22,2,15,1e-04
10000,100,1,0.1,22,2,16,1e-04
10000,100,1,0.1,22,2,17,1e-04
10000,100,1,0.1,22,2,18,1e-04
10000,100,1,0.1,22,2,19,1e-04
10000,100,1,0.1,22,2,20,1e-04
10000,100,1,0.1,22,2,21,1e-04
10000,100,1,0.1,22,2,22,1e-04
10000,100,1,0.1,22,2,23,1e-04
10000,100,1,0.1,22,2,24,1e-04
10000,100,1,0.1,22,2,25,1e-04
10000,100,1,0.1,23,2,1,1e-04
10000,100,1,0.1,23,2,2,1e-04
10000,100,1,0.1,23,2,3,1e-04
10000,100,1,0.1,23,2,4,1e-04
10000,100,1,0.1,23,2,5,1e-04
10000,100,1,0.1,23,2,6,1e-04
10000,100,1,0.1,23,2,7,1e-04
