"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.24,9,20,1,1
10000,100,1,0.24,10,21,1,1
10000,100,1,0.24,11,31,1,1
10000,100,1,0.24,12,30,1,0.9999
10000,100,1,0.24,13,42,1,1
10000,100,1,0.24,14,19,1,0.0291
10000,100,1,0.24,14,12,2,0.0244
10000,100,1,0.24,14,14,3,0.0216
10000,100,1,0.24,14,16,4,0.0282
10000,100,1,0.24,14,15,5,0.0251
10000,100,1,0.24,14,13,6,0.0245
10000,100,1,0.24,14,43,7,1
10000,100,1,0.24,15,19,1,0.041
10000,100,1,0.24,15,8,2,0.0171
10000,100,1,0.24,15,25,3,0.0343
10000,100,1,0.24,15,19,4,0.0301
10000,100,1,0.24,15,13,5,0.0276
10000,100,1,0.24,15,7,6,0.0151
10000,100,1,0.24,15,17,7,0.0342
10000,100,1,0.24,15,11,8,0.028
10000,100,1,0.24,15,11,9,0.0185
10000,100,1,0.24,15,14,10,0.0297
10000,100,1,0.26,1,16,1,0.0292
10000,100,1,0.26,1,13,2,0.0264
10000,100,1,0.26,1,14,3,0.0178
10000,100,1,0.26,1,16,4,0.0279
10000,100,1,0.26,1,12,5,0.0157
10000,100,1,0.26,1,16,6,0.0209
10000,100,1,0.26,1,13,7,0.0125
10000,100,1,0.26,1,19,8,0.0206
10000,100,1,0.26,1,20,9,0.0223
10000,100,1,0.26,1,14,10,0.0164
10000,100,1,0.26,2,48,1,0.7422
10000,100,1,0.26,3,27,1,0.9367
10000,100,1,0.26,4,25,1,0.9809
10000,100,1,0.26,5,24,1,0.993
10000,100,1,0.26,6,28,1,0.9971
10000,100,1,0.26,7,18,1,0.0303
10000,100,1,0.26,7,14,2,0.017
10000,100,1,0.26,7,14,3,0.019
10000,100,1,0.26,7,19,4,0.0294
10000,100,1,0.26,7,62,5,0.9991
10000,100,1,0.26,8,11,1,0.0138
10000,100,1,0.26,8,12,2,0.0133
10000,100,1,0.26,8,10,3,0.0162
10000,100,1,0.26,8,11,4,0.0227
10000,100,1,0.26,8,56,5,0.9992
10000,100,1,0.26,9,10,1,0.012
10000,100,1,0.26,9,10,2,0.0165
10000,100,1,0.26,9,9,3,0.0103
10000,100,1,0.26,9,10,4,0.0121
10000,100,1,0.26,9,12,5,0.0163
10000,100,1,0.26,9,13,6,0.0149
10000,100,1,0.26,9,8,7,0.0081
10000,100,1,0.26,9,13,8,0.012
10000,100,1,0.26,9,8,9,0.0133
10000,100,1,0.26,9,11,10,0.0157
