# index, pos, _pos
89,"array([1066.18,  831.02])","array([-0.07551595,  1.86979381])"
90,"array([1068.72, 1515.28])","array([0.76844737, 1.18452854])"
91,"array([1073.53,   49.41])","array([-1.04664278,  2.64390672])"
92,"array([1079.07,  499.  ])","array([-0.5644043 ,  2.30733377])"
93,"array([1079.92,  774.3 ])","array([-0.18862657,  1.99786237])"
94,"array([108.28, 408.66])","array([0.22065041, 4.00932749])"
95,"array([1082.44,  841.17])","array([-0.16946112,  1.80924222])"
96,"array([1085.89,  444.45])","array([-0.56355767,  2.42704028])"
97,"array([1085.99, 1030.65])","array([0.30238233, 1.57952658])"
98,"array([1088.03, 1189.15])","array([0.59665868, 1.49043102])"
99,"array([1088.87,  187.48])","array([-0.81547822,  2.65677315])"
100,"array([1095.26,  647.31])","array([-0.39397796,  2.06737009])"
101,"array([  11.6 , 1295.32])","array([1.82555262, 3.21472903])"
102,"array([1107.33, 1307.  ])","array([0.71633385, 1.36693308])"
103,"array([1112.74,  460.22])","array([-0.63402739,  2.32894678])"
104,"array([1112.92,  924.48])","array([0.04921545, 1.7076173 ])"
105,"array([1113.16,  726.57])","array([-0.28394952,  1.97906641])"
106,"array([1113.93,  858.45])","array([-0.15829612,  1.71870911])"
107,"array([1114.87,  605.54])","array([-0.49292151,  2.114215  ])"
108,"array([ 112.18, 1177.46])","array([1.52906119, 3.10604288])"
109,"array([ 112.18, 1399.96])","array([2.03820108, 2.79119352])"
110,"array([1128.93,  396.3 ])","array([-0.76476744,  2.5126037 ])"
111,"array([1133.24,  934.64])","array([0.16580565, 1.62510273])"
112,"array([1135.78, 1111.93])","array([0.44409832, 1.4863289 ])"
113,"array([1138.32,  874.7 ])","array([-0.07133548,  1.66731733])"
114,"array([1142.57,  405.67])","array([-0.72941257,  2.37085959])"
115,"array([1146.4 ,  688.22])","array([-0.36402196,  1.92908486])"
116,"array([ 115.23, 1466.  ])","array([2.20370614, 2.64956826])"
117,"array([115.52, 104.81])","array([-0.30268252,  4.41314725])"
118,"array([1153.56, 1199.81])","array([0.58048445, 1.34696542])"
119,"array([1153.56,  944.8 ])","array([0.10893959, 1.55318216])"
120,"array([1155.08, 1560.99])","array([0.73281098, 1.03619908])"
121,"array([1159.14, 1066.21])","array([0.29140266, 1.45489332])"
122,"array([1163.87,  230.95])","array([-0.90518699,  2.55737002])"
123,"array([1168.99,  707.39])","array([-0.2761018 ,  1.81808435])"
124,"array([1173.25,  494.32])","array([-0.62418217,  2.20258078])"
125,"array([1183.02, 1330.88])","array([0.67185644, 1.24475379])"
126,"array([1184.04,  960.04])","array([0.09803704, 1.47939317])"
127,"array([1184.33,  310.21])","array([-0.88320232,  2.46128659])"
128,"array([1184.54, 1135.3 ])","array([0.45202569, 1.35470507])"
129,"array([1185.61,  633.67])","array([-0.47330166,  1.87843801])"
130,"array([1188.59,  188.33])","array([-1.01041511,  2.50508113])"
131,"array([1189.12,  801.55])","array([-0.1384849 ,  1.57870182])"
132,"array([1195.41,  732.96])","array([-0.24785583,  1.70124154])"
133,"array([1205.64,  441.47])","array([-0.73741316,  2.2365803 ])"
134,"array([1206.06,  595.31])","array([-0.51142165,  1.98473079])"
135,"array([1206.39,  982.4 ])","array([0.12321374, 1.40739786])"
136,"array([1208.93, 1092.63])","array([0.32552906, 1.35085118])"
137,"array([121.92, 360.93])","array([0.12679012, 4.06149668])"
138,"array([1210.75,  148.27])","array([-1.09391719,  2.52033747])"
139,"array([1216.04, 1081.45])","array([0.22610798, 1.27102053])"
140,"array([1221.12, 1473.62])","array([0.68167134, 0.89693385])"
141,"array([1223.11,  566.34])","array([-0.54567723,  2.11580427])"
142,"array([1226.09,  761.94])","array([-0.2610597 ,  1.58231531])"
143,"array([1227.72,  876.73])","array([0.03283196, 1.51264959])"
144,"array([ 123.36, 1397.93])","array([1.94473984, 2.8010647 ])"
145,"array([123.86, 894.51])","array([1.19320343, 3.40101602])"
146,"array([1236.87, 1217.09])","array([0.54150349, 1.19791577])"
147,"array([1238.88,  529.26])","array([-0.67768632,  2.13398927])"
148,"array([1248.04,  848.29])","array([-0.05931294,  1.49966286])"
149,"array([1252.61, 1167.81])","array([0.44646556, 1.23273667])"
150,"array([1253.12, 1427.39])","array([0.57385641, 0.81682909])"
151,"array([1254.14, 1005.76])","array([0.10141995, 1.30866623])"
152,"array([1258.71, 1152.57])","array([0.35467032, 1.15481597])"
153,"array([1260.19,  292.32])","array([-0.96668265,  2.35123878])"
154,"array([1261.46,  573.15])","array([-0.57058486,  1.92482559])"
155,"array([1265.73,  712.93])","array([-0.41103697,  1.64432055])"
156,"array([1269.56,  475.56])","array([-0.8146881,  2.1294461])"
157,"array([ 127.42, 1326.81])","array([1.73934888, 2.80421093])"
158,"array([127.93, 883.34])","array([1.07815574, 3.38059376])"
159,"array([1272.93, 1109.9 ])","array([0.25144351, 1.15607495])"
160,"array([1275.47,  862.51])","array([-0.04099271,  1.40500245])"
161,"array([1276.49, 1225.21])","array([0.45159992, 1.03591888])"
162,"array([1286.61,  240.32])","array([-1.05124658,  2.41401985])"
163,"array([1290.71, 1525.94])","array([0.73331785, 0.80722845])"
164,"array([1293.25, 1164.76])","array([0.33047759, 1.06435162])"
165,"array([1294.7,  643.9])","array([-0.53335194,  1.76153422])"
166,"array([1299.86,  818.82])","array([-0.19864105,  1.43836082])"
167,"array([ 130.47, 1364.4 ])","array([1.84268131, 2.83357108])"
168,"array([1306.21,   91.17])","array([-1.39414918,  2.40419928])"
169,"array([1309.62,  202.82])","array([-1.15210016,  2.39444609])"
170,"array([ 131.48, 1288.2 ])","array([1.63870106, 2.87724274])"
171,"array([131.72,  74.98])","array([-0.39235773,  4.46603121])"
172,"array([1310.02,  884.86])","array([-0.03402543,  1.29245546])"
173,"array([1321.7, 1103.8])","array([0.19511958, 1.05366548])"
174,"array([1325.81,  780.69])","array([-0.33584359,  1.45363509])"
175,"array([1330.34,  844.22])","array([-0.16458011,  1.30648634])"
176,"array([1331.35,  572.3 ])","array([-0.65922653,  1.82981999])"
177,"array([1331.78,   49.41])","array([-1.48719706,  2.36877185])"
178,"array([1336.04,  760.24])","array([-0.43389689,  1.54728345])"
179,"array([1343.54, 1558.45])","array([0.6963046, 0.7305639])"
180,"array([1345.42,   28.95])","array([-1.58223694,  2.37368799])"
181,"array([1348.83,  123.56])","array([-1.28109468,  2.37591626])"
182,"array([1350.53,  830.98])","array([-0.27581545,  1.2727796 ])"
183,"array([1351.38,  343.46])","array([-0.97923692,  2.20701291])"
184,"array([1353.51,  725.72])","array([-0.54543226,  1.58793611])"
185,"array([1357.77, 1241.47])","array([0.43063691, 0.86156514])"
186,"array([1360.76,  817.34])","array([-0.38207706,  1.36214478])"
187,"array([1368.44, 1123.11])","array([0.187878  , 0.93811321])"
188,"array([1371.84,  533.52])","array([-0.78977355,  1.96328562])"
189,"array([1374.02, 1511.72])","array([0.62261619, 0.69117065])"
190,"array([1385.2,  970.2])","array([0.04063484, 1.06314474])"
191,"array([1387.74, 1176.96])","array([0.29167691, 0.86576994])"
192,"array([139.82, 295.3 ])","array([-0.00582409,  4.13991301])"
193,"array([1391.3, 1491.4])","array([0.6249247 , 0.56072947])"
194,"array([1395.28,  758.96])","array([-0.51126691,  1.39806502])"
195,"array([1396.38,  937.69])","array([-0.04140418,  1.17151996])"
196,"array([1397.9 , 1086.53])","array([0.0707146 , 0.91618301])"
197,"array([1403.8,  259.5])","array([-1.14044086,  2.26024254])"
198,"array([1408.57,  910.26])","array([-0.15171416,  1.20087691])"
199,"array([1415.73,  719.75])","array([-0.63071742,  1.36489365])"
200,"array([1419.14,  598.72])","array([-0.67336203,  1.66552455])"
201,"array([1423.81,  879.78])","array([-0.24942517,  1.15035258])"
202,"array([143.17, 840.67])","array([0.98521364, 3.4491315 ])"
203,"array([1430.65,  438.91])","array([-0.92416896,  1.94976159])"
204,"array([1433.63,  677.14])","array([-0.75688402,  1.44165231])"
205,"array([1436.51, 1000.18])","array([-0.05245214,  0.97126209])"
206,"array([ 144.69, 1184.57])","array([1.46611588, 3.0155721 ])"
207,"array([1442.16,  845.04])","array([-0.36217637,  1.15495002])"
208,"array([1445.65, 1155.62])","array([0.214052  , 0.79779399])"
209,"array([1448.97,  179.38])","array([-1.30361984,  2.28636908])"
210,"array([1451.75, 1109.9 ])","array([0.10948741, 0.8271747 ])"
211,"array([1451.96,  400.56])","array([-1.00250063,  2.08426845])"
212,"array([1459.2 ,  804.98])","array([-0.47045217,  1.23941128])"
213,"array([ 146.72, 1070.79])","array([1.38678427, 3.17830052])"
214,"array([1463.46,  611.51])","array([-0.79613048,  1.57299306])"
215,"array([1468.51, 1371.51])","array([0.54564617, 0.51459503])"
216,"array([1471.13,  698.45])","array([-0.86731258,  1.40519113])"
217,"array([1473.27,  136.34])","array([-1.46124596,  2.29110858])"
218,"array([1476.13, 1066.21])","array([0.02798091, 0.79532959])"
219,"array([1477.65,  913.31])","array([-0.20606035,  1.01812734])"
220,"array([1480.51,  754.7 ])","array([-0.57321902,  1.25187028])"
221,"array([1483.49,  121.  ])","array([-1.59600532,  2.29539297])"
222,"array([1484.77, 1499.53])","array([0.6661929 , 0.45395144])"
223,"array([1489.34, 1031.67])","array([-0.08495378,  0.871093  ])"
224,"array([1495.  ,  877.43])","array([-0.33523126,  1.05385126])"
225,"array([1496.7 ,  550.14])","array([-0.89566527,  1.66367649])"
226,"array([1497.97, 1333.92])","array([0.45290032, 0.59387253])"
227,"array([ 15.16, 961.57])","array([1.32754119, 3.45010168])"
228,"array([1505.23,  112.05])","array([-1.71839576,  2.27054586])"
229,"array([1506.08,  319.16])","array([-1.11095311,  2.14391351])"
