# source, target, length
270,294,92.5487
270,277,73.5795
271,298,94.8837
271,52,85.4719
271,258,45.2366
272,266,53.9726
273,261,45.7758
273,284,58.8353
274,271,24.1495
274,280,52.3696
275,308,134.871
275,267,21.0507
276,264,51.6657
276,313,133.7286
277,303,94.4913
277,253,72.4485
278,286,34.3785
279,307,108.6097
279,53,49.8244
279,256,71.7325
280,323,169.4762
280,289,115.0254
281,275,24.856
282,279,66.4935
283,290,24.0619
283,281,36.411
284,312,132.858
284,293,59.3111
285,324,144.7652
286,277,104.4283
287,9,32.3431
288,282,67.8154
289,323,107.3094
290,297,55.7409
291,305,58.7405
291,272,80.9237
292,442,53.9892
292,347,59.7085
293,328,135.9452
293,272,98.5867
294,288,71.3357
295,291,83.1872
296,311,54.9474
296,286,35.4865
297,55,17.5503
297,346,167.6538
297,54,38.5149
298,278,111.0018
298,334,147.4176
299,358,202.0977
299,289,122.0864
300,108,80.32
300,5,37.96
301,101,47.718
301,462,61.6072
302,296,30.3095
302,319,83.0996
303,340,109.6925
303,294,74.2219
303,311,104.1264
304,295,33.7716
304,308,38.6561
305,316,31.7195
305,293,61.3086
306,299,73.5323
306,264,149.4351
307,331,67.2773
307,56,16.4137
307,315,67.4687
308,318,30.6005
309,308,26.0759
309,281,103.6118
309,290,103.5028
310,306,35.1418
311,317,14.2599
312,273,196.4656
312,328,60.3161
313,310,27.34
314,304,30.4576
314,318,41.344
315,282,109.5857
315,325,66.8386
316,342,107.8947
316,326,98.6481
317,338,61.1277
317,321,30.5638
318,341,64.512
318,322,20.7553
319,330,29.3229
319,298,67.7741
319,334,63.1215
320,313,38.8803
320,333,53.0152
321,302,56.4301
322,309,34.0287
323,332,28.6822
324,260,176.3971
324,0,42.8761
325,288,111.822
325,340,149.0961
326,314,32.8999
327,364,170.7004
327,310,47.5668
328,342,60.9451
329,434,41.7592
329,14,71.7797
330,321,75.5398
331,339,64.5844
332,274,216.2625
333,312,64.6245
333,357,120.0557
334,336,20.9449
335,330,18.5398
336,350,40.6009
336,355,98.382
337,344,23.842
337,326,34.3157
338,352,36.6315
338,349,106.4596
339,365,101.5976
339,345,70.3669
340,356,54.4567
340,352,104.7392
341,337,41.6242
341,343,23.1855
343,322,63.884
344,372,164.5325
345,325,66.0385
346,360,82.6748
347,67,39.6176
347,395,63.1233
348,145,79.6878
349,335,32.4557
350,335,67.9565
350,369,102.9934
351,4,79.3393
351,456,92.0348
352,361,52.0632
353,363,49.3769
353,323,108.2352
354,320,126.1863
355,332,75.5179
355,363,66.2336
356,366,59.4585
356,57,64.6163
357,370,78.9395
357,342,64.557
358,353,47.3734
358,364,57.6606
359,373,68.0704
359,345,98.4578
360,343,116.3165
361,371,52.6938
361,368,115.0254
362,357,143.9199
362,344,93.5239
363,367,54.4568
364,376,63.8931
364,327,192.365
365,59,32.1281
365,373,117.0094
366,393,110.5502
366,359,86.4536
367,389,93.6684
367,358,42.7194
368,397,118.2773
368,349,100.0621
369,375,28.9152
370,354,116.3405
370,377,40.384
371,382,43.6988
371,366,104.1871
372,385,88.0654
372,360,71.1799
373,380,34.0769
374,369,78.73
374,355,99.6086
375,383,29.8808
375,368,80.6822
376,367,51.6152
376,387,97.1445
377,394,78.2509
378,348,41.7664
378,2,64.9113
379,324,69.3994
379,15,64.6164
379,442,60.4143
380,391,110.6149
380,384,38.2445
381,374,27.6376
382,390,61.1699
383,386,73.8944
384,411,93.8104
385,398,51.8864
385,362,169.2605
386,403,52.3696
386,381,33.1713
387,399,67.3764
387,354,191.6046
388,116,50.2678
389,381,105.7055
389,399,113.7349
390,409,59.1713
390,397,65.4339
391,365,162.356
392,377,97.1062
392,421,143.9003
393,384,50.1239
394,396,115.1851
394,416,120.382
395,137,56.0848
395,287,39.6213
396,407,44.3287
396,427,188.4565
397,412,43.8638
398,392,223.8858
399,419,91.6521
400,387,72.3416
400,407,26.0898
401,426,87.3977
401,393,103.1797
401,382,74.294
402,389,44.0341
403,423,69.7185
403,415,75.1813
404,408,18.3158
405,388,32.9057
405,13,71.4731
405,404,12.1917
406,60,55.2751
406,391,45.9442
407,428,112.4154
408,12,73.1645
409,433,87.7806
409,401,59.7615
409,412,66.56
410,398,36.8769
410,62,249.1377
411,439,94.7776
411,406,71.6462
412,418,69.5406
413,300,108.6858
413,481,75.1857
414,329,53.1082
414,351,27.4467
415,402,65.6587
416,427,53.2136
417,400,56.8758
417,438,133.3243
418,422,31.298
418,383,121.1293
419,445,123.0581
419,402,66.8271
420,447,95.7608
420,411,73.9118
420,393,86.7605
421,432,61.7121
421,410,38.2025
422,437,70.0163
422,423,41.6241
424,408,36.0779
424,463,80.1786
425,441,43.1281
425,412,50.2883
426,457,93.185
426,420,102.8222
427,444,50.8326
428,438,41.1325
429,423,37.1145
429,415,76.3385
430,443,42.9766
430,417,53.9052
431,63,62.2681
431,61,25.4626
431,406,95.4288
432,416,112.3055
432,460,130.7549
433,426,62.0079
434,244,81.7954
435,461,99.9771
435,419,95.8563
436,453,51.0926
436,433,36.0063
437,425,81.3152
437,452,77.3744
438,455,53.3975
439,431,70.3669
440,429,35.9202
440,448,43.4857
441,436,38.2445
442,276,190.6578
443,435,39.0813
444,428,79.2334
444,459,112.0529
445,429,75.2783
445,461,131.057
446,469,98.4869
446,439,22.5949
447,468,72.7364
447,439,75.8247
448,466,66.6791
448,454,27.6375
449,458,42.8642
449,433,48.8726
450,441,25.5816
450,474,145.6959
451,427,112.7533
451,432,59.357
452,440,38.1905
453,449,38.8869
454,445,42.2822
455,465,40.5948
455,430,138.9982
456,171,63.9201
456,64,53.7689
457,71,136.5534
457,447,102.5735
458,81,161.3383
458,457,56.59
458,464,44.6683
459,451,45.8749
460,70,136.2717
460,451,72.822
460,484,155.0748
461,473,52.0227
462,6,10.9424
462,300,75.8657
463,170,42.4284
463,301,56.4301
464,453,40.6645
464,470,45.0938
465,443,141.3947
466,467,38.7067
466,472,19.5427
467,452,54.3429
468,446,92.5651
469,65,19.5162
469,480,109.1172
470,77,116.8351
470,450,64.5765
471,454,74.1663
472,475,37.4811
472,454,63.6264
472,477,74.9967
473,479,46.6288
474,66,44.1569
474,470,57.7078
474,483,73.6076
475,486,71.0893
476,72,54.1741
476,465,49.5958
477,486,31.7401
477,471,56.4942
478,473,74.2642
478,72,81.4174
479,487,26.0898
479,68,75.1684
480,76,69.0416
480,468,58.2217
481,247,73.2807
481,227,84.087
482,459,90.4942
483,467,69.5183
484,99,126.7548
484,80,117.0905
485,25,37.4729
485,442,42.3207
486,73,34.1525
487,69,19.6218
487,471,111.0181
